time,open,high,low,close,Volume,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volume_strength,volume_strength_ma,price_strength,price_strength_ma,price_volume_strength,price_volume_strength_ma
2025-08-16T21:01:00-05:00,4413.85,4414.45,4412.84,4413.66,34.21782184,0,4413.85,4414.45,4412.84,4413.66,56.660047034610514,69.7656954097954,10.54392425147371,16.813354221738006,17.178281913931038,32.598891351302214
2025-08-16T21:01:30-05:00,4413.64,4414.46,4413.21,4413.85,23.43663328,0,4413.64,4414.46,4413.21,4413.85,59.18757745725647,64.57120011000377,9.446449684742326,17.25771230610267,17.95677619421411,29.249048369096517
2025-08-16T21:02:00-05:00,4413.86,4414.8,4412.74,4412.74,28.33192243,0,4413.86,4414.8,4412.74,4412.74,53.32868504648705,57.28217436474214,4.0672212982121705,12.795887020631667,11.084020511894968,21.51691208516076
2025-08-16T21:02:30-05:00,4412.7,4413.85,4412.7,4413.38,2.15647219,0,4412.7,4413.85,4412.7,4413.38,52.592960452959986,52.96976137285277,6.104256708564364,11.417147667093822,10.815201645432902,16.69769923403411
2025-08-16T21:03:00-05:00,4413.35,4415.4,4413.35,4414.81,15.54391569,0,4413.35,4415.4,4413.35,4414.81,60.29152480716273,56.44652838724525,12.71431007026614,14.924818348154893,22.08048726952902,21.920016368928366
2025-08-16T21:03:30-05:00,4414.86,4415.09,4410.82,4412.01,36.57461431,0,4414.86,4415.09,4410.82,4412.01,45.69009800206101,47.51368143561033,-0.6416640692537801,6.307296460619202,4.7220081011814115,11.24851360673792
2025-08-16T21:04:00-05:00,4412.8,4413.11,4412.02,4412.68,0.59060916,0,4412.8,4413.11,4412.02,4412.68,42.544012647446735,41.19152574291137,1.4687159946301716,3.3705497255363,4.77593851833696,5.965272661964344
2025-08-16T21:04:30-05:00,4412.69,4412.87,4411.57,4412.84,2.88820072,0,4412.69,4412.87,4411.57,4412.84,41.51466705715997,37.72318079095606,1.6902223013932591,1.8596473468800763,5.802228022096043,4.0795820324887
2025-08-16T21:05:00-05:00,4412.84,4414.11,4412.84,4414.11,5.10426134,0,4412.84,4414.11,4412.84,4414.11,48.20537610609226,41.37167719402123,7.064150148918975,4.9558813109609625,15.409042323822412,10.263160469672993
2025-08-16T21:05:30-05:00,4414.2,4415.52,4414.2,4415.4,2.18515965,0,4414.2,4415.52,4414.2,4415.4,56.99297847497703,49.994539846736764,12.997961510129462,10.742481497909363,24.858475250366478,20.257231176138603
2025-08-16T21:06:00-05:00,4415.4,4415.4,4412.94,4412.94,13.00424349,0,4415.4,4415.4,4412.94,4412.94,36.128591862607166,39.29929120168245,2.6479066914015696,5.9363537623853375,1.0531854745061011,7.761341511528531
2025-08-16T21:06:30-05:00,4412.95,4413.13,4411.31,4411.92,36.71240825,0,4412.95,4413.13,4411.31,4411.92,31.40178220670412,31.150073754875418,-2.7255869318139325,-0.2825359392376914,-4.636473954883826,-2.237635016082127
2025-08-16T21:07:00-05:00,4412.1,4414.55,4412.1,4413.99,17.71652514,0,4412.1,4414.55,4412.1,4413.99,46.7820707458852,38.81904150306656,5.468216389979595,2.7172104672642465,13.377866876456524,6.217888775477109
2025-08-16T21:07:30-05:00,4413.97,4414.33,4413.41,4413.42,1.21252536,0,4413.97,4414.33,4413.41,4413.42,52.37884994504441,46.889489222196744,3.592716237871983,2.793340635538937,13.922899335531662,10.775235948666143
2025-08-16T21:08:00-05:00,4413.6,4413.6,4412.05,4412.25,9.45461239,0,4413.6,4413.6,4412.05,4412.25,49.718954663141936,49.11536934717152,-1.1367019929467244,-0.5326877240052434,5.977574058681827,7.353940386032242
2025-08-16T21:08:30-05:00,4412.24,4413.5,4411.68,4411.68,18.41181729,0,4412.24,4413.5,4411.68,4411.68,47.55739131738079,48.78264250574252,-2.6993553152606573,-3.1534751182132066,0.8880178273795684,2.160207606520812
2025-08-16T21:09:00-05:00,4411.75,4412.16,4410.91,4411.61,6.63341664,0,4411.75,4412.16,4410.91,4411.61,47.617367089045146,48.69528183007084,-3.024134051265582,-4.51638248346975,-1.91730590775785,-2.2527370798566775
2025-08-16T21:09:30-05:00,4411.59,4411.64,4409.9,4409.9,7.78650568,0,4411.59,4411.64,4409.9,4409.9,42.12058236851997,44.58179471448342,-8.476464619639536,-8.977545154190663,-14.419202353656436,-13.321890274579763
2025-08-16T21:10:00-05:00,4409.9,4410.37,4408.64,4408.73,17.06374191,0,4409.9,4410.37,4408.64,4408.73,35.55832173557965,37.7767655270513,-12.26987095713434,-13.639593561658135,-21.476616645570576,-23.443401184215407
2025-08-16T21:10:30-05:00,4408.74,4409.41,4405.2,4405.2,108.61103329,1,4408.74,4409.41,4405.2,4405.2,14.670492635877881,19.29994218160748,-20.64735805924297,-21.683378055763605,-65.14342288562416,-59.66012229513133
2025-08-16T21:11:00-05:00,4405.11,4405.16,4403.2,4403.8,19.34982549,0,4405.11,4405.16,4403.2,4403.8,13.322504670084996,9.73246865086943,-23.405703728002962,-27.129756036960092,-61.69874850327658,-73.51356868497689
