time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volume_strength,volume_strength_ma,price_strength,price_strength_ma,price_volume_strength,price_volume_strength_ma
2025-07-30T05:40:00-05:00,3807.07,3807.52,3797.01,3798.97,0,3807.07,3807.52,3797.01,3798.97,52.68524281463206,65.62572063316097,16.806224945622933,21.003457825956932,0.2375221322022251,11.174724434180437
2025-07-30T05:48:00-05:00,3798.97,3799.26,3777.76,3779.58,0,3798.97,3799.26,3777.76,3779.58,23.282639617613093,40.832898259250754,0.7520751424623384,7.93503834592979,-36.48860074216129,-19.193360218229518
2025-07-30T05:56:00-05:00,3779.44,3783.18,3769.4,3778.04,1,3779.44,3783.18,3769.4,3778.04,22.68498737649722,27.778155843602985,-2.82305952744459,-1.067271494911438,-41.99167375912197,-38.18587363992374
2025-07-30T06:04:00-05:00,3778.04,3786.76,3777.21,3784.91,0,3778.04,3786.76,3777.21,3784.91,31.53365953558256,27.50841989381214,2.9998988701046265,-1.138921377849286,-29.669777384095884,-38.409484433839076
2025-07-30T06:12:00-05:00,3784.9,3784.91,3759.92,3766.91,0,3784.9,3784.91,3759.92,3766.91,29.14903738315551,25.57420888265577,-9.023840385472615,-9.774126137808771,-38.73760216675485,-44.80765753095306
2025-07-30T06:20:00-05:00,3766.9,3769.63,3753.65,3755.81,0,3766.9,3769.63,3753.65,3755.81,21.146807337342345,19.085148914837966,-16.852590318772556,-19.2021013697642,-46.2662891995642,-52.60762271981696
2025-07-30T06:28:00-05:00,3755.85,3764.25,3754.15,3761.4,0,3755.85,3764.25,3754.15,3761.4,24.73316800140044,19.04769034012065,-14.157922657047115,-21.194214491918522,-38.06327997957886,-49.42794536272163
2025-07-30T06:36:00-05:00,3761.44,3767.32,3755.31,3755.75,0,3761.44,3767.32,3755.31,3755.75,27.549271311028814,21.575899921946224,-16.604979890697525,-23.275568505075565,-34.69303726082784,-44.50815179603764
2025-07-30T06:44:00-05:00,3755.69,3760.46,3744.37,3745.07,1,3755.69,3760.46,3744.37,3745.07,22.27770931067632,19.451222651520602,-21.26248183336798,-26.907368322330274,-40.73939256368322,-45.66051457420952
2025-07-30T06:52:00-05:00,3745.07,3759.24,3744.54,3757.6,0,3745.07,3759.24,3744.54,3757.6,35.52135824423955,28.596388375126594,-15.407636830873152,-23.584277490845064,-27.33033464572537,-35.63552415881055
2025-07-30T07:00:00-05:00,3757.95,3764.21,3752.03,3758.19,0,3757.95,3764.21,3752.03,3758.19,45.384506843280136,40.49626237110212,-13.463088164978966,-19.862877810878544,-18.81403428593399,-24.104494049686995
2025-07-30T07:08:00-05:00,3758.07,3761.74,3748.83,3751.84,0,3758.07,3761.74,3748.83,3751.84,45.01348470010147,46.07376108871904,-15.635001746209184,-19.03940584608659,-19.093491042933223,-18.50848407933985
2025-07-30T07:16:00-05:00,3752.01,3776.97,3750.96,3775.13,0,3752.01,3776.97,3750.96,3775.13,69.46912364898755,66.52068981063074,1.181838828476673,-5.878501677349348,3.101752359380465,0.3773542881365799
2025-07-30T07:24:00-05:00,3775.12,3781.95,3768.11,3769.23,0,3775.12,3781.95,3768.11,3769.23,64.65269228767212,72.32097462695157,0.6498342008320321,0.2619197544668461,-0.7494891988744689,6.20615555629814
2025-07-30T07:32:00-05:00,3769.28,3776,3763.81,3775.77,0,3769.28,3776,3763.81,3775.77,66.12750341360943,75.50059642375972,6.136341184495345,7.260860419965189,2.9649785180320145,11.09158485551859
2025-07-30T07:40:00-05:00,3775.69,3785.25,3767.22,3772.36,1,3775.69,3785.25,3767.22,3772.36,57.51930080308128,69.79808454068146,5.9665001631838965,10.263367323390343,-1.5604127448601826,9.23276361363746
