time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volume_strength,volume_strength_ma,price_strength,price_strength_ma,price_volume_strength,price_volume_strength_ma
2025-08-05T06:24:00-05:00,3682.16,3686.1,3681.54,3683.35,0,3682.16,3686.1,3681.54,3683.35,52.73878552754165,40.29816706891107,28.2387883543144,24.675251574775974,15.460274300199933,7.496102843229201
2025-08-05T06:30:00-05:00,3683.34,3683.98,3670.22,3674.42,0,3683.34,3683.98,3670.22,3674.42,35.32171517833862,34.00276419652999,21.712325629519114,22.254249713856588,-0.083923514901727,1.5833447789819353
2025-08-05T06:36:00-05:00,3674.42,3678.77,3671.34,3675.56,1,3674.42,3678.77,3671.34,3675.56,40.18830134337074,35.37266565381399,21.764376340409584,21.31903001111646,3.0440887165822423,1.4630487672518788
2025-08-05T06:42:00-05:00,3675.56,3678.16,3667.54,3668.43,3,3675.56,3678.16,3667.54,3668.43,23.123112783628166,24.119939160297072,16.993718838056015,17.50099937328773,-8.565826480246413,-6.848035598055249
2025-08-05T06:48:00-05:00,3668.34,3670.08,3660.9,3667.11,5,3668.34,3670.08,3660.9,3667.11,23.56812448487143,19.617435760820676,14.761818197905935,14.177441727556436,-8.273925605286108,-10.353584628150411
2025-08-05T06:54:00-05:00,3667.11,3674.93,3664.83,3673.61,3,3667.11,3674.93,3664.83,3673.61,39.33064068922705,29.482533429973913,17.823421843468864,14.98485958547918,4.765028460410939,-2.2465778772832596
2025-08-05T07:00:00-05:00,3673.77,3675.36,3666.38,3670.2,0,3673.77,3675.36,3666.38,3670.2,45.34276815222812,39.06861879065129,15.543845004049397,13.899043434134835,3.157594106036439,0.7200693686382138
2025-08-05T07:06:00-05:00,3670.39,3675.35,3667.23,3669.17,0,3670.39,3675.35,3667.23,3669.17,48.377555144369865,46.26578023503468,14.65502155728454,12.965087886564366,2.5480143481081705,1.9531569750376998
2025-08-05T07:12:00-05:00,3669.16,3680.43,3667.56,3671.17,0,3669.16,3680.43,3667.56,3671.17,50.46679084132654,51.397399675049165,16.617167341135374,14.177973425283176,5.754358361163271,5.0188820092893405
2025-08-05T07:18:00-05:00,3671.33,3672.57,3641.99,3652.45,0,3671.33,3672.57,3641.99,3652.45,35.01185985002248,42.48628249863559,3.814230306771506,5.620757503036446,-14.880845522748027,-8.556654864144038
2025-08-05T07:24:00-05:00,3652.17,3660.12,3650.57,3656.62,0,3652.17,3660.12,3650.57,3656.62,33.78863177706059,37.158425720593634,4.392066954951478,2.2180545082972243,-12.69873074920914,-13.375858250565706
2025-08-05T07:30:00-05:00,3656.6,3656.6,3641.04,3645,0,3656.6,3656.6,3641.04,3645,28.316798248139648,30.404577657563046,-1.117986204219367,-3.15453157785843,-20.10345117342065,-20.992209318246847
2025-08-05T07:36:00-05:00,3644.96,3644.97,3610,3626.07,0,3644.96,3644.97,3610,3626.07,22.245812325249446,22.689409005569846,-8.866675758890917,-10.984244845241573,-37.598598912956554,-37.09719854824827
2025-08-05T07:42:00-05:00,3626.33,3638.05,3620.72,3621.49,0,3626.33,3638.05,3620.72,3621.49,23.12496078422164,19.776384368624658,-10.229671798934685,-15.214436157426148,-45.67523427515692,-50.13815027701094
2025-08-05T07:48:00-05:00,3621.43,3639.78,3621.43,3636.46,0,3621.43,3639.78,3621.43,3636.46,31.514318050721364,24.79596414582273,-4.809657655484504,-12.685941015266796,-35.052681417774714,-47.8358346327129
2025-08-05T07:54:00-05:00,3636.47,3637.98,3624.91,3627.35,0,3636.47,3637.98,3624.91,3627.35,31.169323170908882,27.30830633200112,-7.50922160489819,-12.810711896823099,-35.33408435766929,-45.98963738944891
2025-08-05T08:00:00-05:00,3628.1,3635.01,3623.36,3634.62,0,3628.1,3635.01,3623.36,3634.62,38.02465919991981,33.88791526485431,-4.662346336762454,-10.147601766351979,-25.535586029611498,-36.89602472610907
2025-08-05T08:06:00-05:00,3634.64,3635.01,3619.08,3622.37,0,3634.64,3635.01,3619.08,3622.37,33.79103223386427,34.17897240933509,-8.759209357060577,-11.3257831503061,-30.699629639968578,-35.41306475160766
2025-08-05T08:12:00-05:00,3622.5,3626.06,3618.3,3625.21,0,3622.5,3626.06,3618.3,3625.21,37.4824528792645,37.14449762853994,-8.081632447908241,-10.934304698332216,-24.828781817223028,-29.6866987876926
2025-08-05T08:18:00-05:00,3624.68,3637.9,3624.68,3634.13,0,3624.68,3637.9,3624.68,3634.13,50.78800234456878,48.2497578413884,-4.251341285611055,-7.6005493686476395,-9.303856637257828,-15.175805791383416
2025-08-05T08:24:00-05:00,3633.93,3637.58,3628.5,3636.31,0,3633.93,3637.58,3628.5,3636.31,59.082869618056606,59.428092177332786,-2.7777136029119376,-4.673208982093617,-0.9007698003121286,-1.9623965919911832
2025-08-05T08:30:00-05:00,3636.3,3647.64,3627,3634.87,0,3636.3,3647.64,3627,3634.87,50.531452335713055,58.179209256694584,-1.9906698862910552,-2.5298409414991463,-7.7907994328337296,-0.829620841563731
2025-08-05T08:36:00-05:00,3635.05,3655.01,3634.2,3641.54,0,3635.05,3655.01,3634.2,3641.54,55.964043564596224,61.057841756431046,2.2041177359836865,1.6204829206710558,-0.7639601624807213,4.418704617037916
2025-08-05T08:42:00-05:00,3641.93,3651.68,3639.99,3649.01,0,3641.93,3651.68,3639.99,3649.01,62.14037664588287,66.28991450840434,6.295595242429091,6.538362221064033,6.939404266197063,11.865682176383483
2025-08-05T08:48:00-05:00,3649.47,3659.61,3649.02,3653.21,2,3649.47,3659.61,3649.02,3653.21,67.16801069011359,71.77152237808237,9.6866663629068,11.20567487660955,12.286703059836029,18.525663809338422
2025-08-05T08:54:00-05:00,3652.54,3653.05,3639.35,3646.43,0,3652.54,3653.05,3639.35,3646.43,64.2802257051543,71.56925823201158,3.961712024324406,8.990396945978155,5.091620395326157,15.573159680869447
2025-08-05T09:00:00-05:00,3646.42,3647.38,3619.58,3620.16,0,3646.42,3647.38,3619.58,3620.16,31.759223167016415,47.033840014507334,-9.444773250132894,-2.168779681592733,-29.496683635133394,-11.96174184058921
2025-08-05T09:06:00-05:00,3620.32,3629.48,3606.93,3606.93,0,3620.32,3629.48,3606.93,3606.93,21.612250767091147,27.421805412446254,-14.981278963924371,-11.804541467950154,-40.20361877319119,-33.567827006260586
