time,open,high,low,close,Volume,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volumeStrength,volumeStrengthMa,priceStrength,priceStrengthMa,priceVolumeStrength,priceVolumeStrengthMa
2025-08-17T10:24:15-05:00,4553.12,4553.46,4552.89,4553.4,28.16878685,3,4553.12,4553.46,4552.89,4553.4,62.96935423906223,58.737644363007355,50.94682961773808,53.08359766978245,24.34470865494399,23.50096888336633
2025-08-17T10:24:30-05:00,4553.34,4553.5,4553.08,4553.43,49.12407407,5,4553.34,4553.5,4553.08,4553.43,61.92938329433245,59.015782626831424,51.64215550647308,52.977652535431616,23.33158707901717,21.83346684330496
2025-08-17T10:24:45-05:00,4553.43,4553.53,4553.05,4553.26,17.02977786,3,4553.43,4553.53,4553.05,4553.26,58.22467435324562,56.853239586216795,49.87265093633659,51.43020163165992,17.8967097494775,17.26777428992642
2025-08-17T10:25:00-05:00,4553.25,4555.77,4553.25,4555.12,19.63290442,0,4553.25,4555.77,4553.25,4555.12,65.91454031312855,61.764427321208515,60.66162399869947,58.42563615855452,26.351995828196664,21.5128976189075
2025-08-17T10:25:15-05:00,4555,4555,4553.23,4553.23,14.58504275,0,4555,4555,4553.23,4553.23,56.198490124566185,57.24608903480782,48.46953354265406,52.71322958295008,9.4646144722303,11.454753064119808
2025-08-17T10:25:30-05:00,4553.16,4554.37,4552.77,4554.37,7.50157253,0,4553.16,4554.37,4552.77,4554.37,55.348702061764975,54.69487142684572,55.27220659146196,54.86819279267003,13.299597035424211,9.795329892579634
2025-08-17T10:25:45-05:00,4554.31,4554.72,4551.23,4552.49,54.45350913,0,4554.31,4554.72,4551.23,4552.49,30.940682421183904,35.840199371311506,40.887112160501175,45.26163969501805,-12.484276662646296,-9.488603166599283
2025-08-17T10:26:00-05:00,4552.41,4552.55,4550.21,4550.42,16.36461925,0,4552.41,4552.55,4550.21,4550.42,21.844790228760488,20.545187374374624,23.277978258788774,27.82145176214381,-28.714974550313144,-29.982567304803577
2025-08-17T10:26:15-05:00,4550.42,4550.5,4549.41,4549.45,13.02621476,0,4550.42,4550.5,4549.41,4549.45,16.39711328386445,9.799798651800327,14.803996163455546,13.483180792766495,-28.56876561924743,-38.87600057938032
2025-08-17T10:26:30-05:00,4549.45,4551.08,4549.45,4551.08,4.01077302,0,4549.45,4551.08,4549.45,4551.08,16.85314117676127,5.851299456108989,25.72263614964963,15.050209858286665,-17.441154499782247,-33.92147327911547
2025-08-17T10:26:45-05:00,4550.95,4553.15,4550.87,4553.14,18.58413775,0,4550.95,4553.15,4550.87,4553.14,41.963743073717666,23.382686487371593,42.01280080137822,28.370336375227325,4.212785890682265,-14.477414051895416
2025-08-17T10:27:00-05:00,4553.12,4553.53,4552.86,4553.5,4.17662641,0,4553.12,4553.53,4552.86,4553.5,55.436751968417326,42.64312747622767,45.343129052086745,37.92339180744271,11.554848892281191,1.3382414229216657
2025-08-17T10:27:15-05:00,4553.5,4554.9,4553.49,4554.9,9.16571716,0,4553.5,4554.9,4553.49,4554.9,69.4330453204865,62.8857813731849,54.58477385532218,49.86032133020543,23.440882056553445,18.407205688208727
2025-08-17T10:27:30-05:00,4555.25,4556.63,4554.14,4554.16,16.41451246,0,4555.25,4556.63,4554.14,4554.16,57.0895010549744,63.856993595465894,52.07567434085458,54.00865902934815,16.90182744796557,22.069995139055166
2025-08-17T10:27:45-05:00,4554.39,4555.41,4554.22,4555.41,2.52663164,0,4554.39,4555.41,4554.22,4555.41,55.30134982877578,62.879575709146685,59.05869947823566,61.060925924745035,21.68038567198218,27.1399559955061
2025-08-17T10:28:00-05:00,4555.41,4556.14,4555.2,4555.94,3.26024232,0,4555.41,4556.14,4555.2,4555.94,56.57614519899147,62.82511183156056,62.57474994402874,66.66057823418228,23.187319974688265,30.09946070751768
2025-08-17T10:28:15-05:00,4555.65,4556.1,4553.92,4553.92,15.95977286,0,4555.65,4556.1,4553.92,4553.92,36.43242970430042,47.464878583940255,48.92120355342304,58.85387262454419,4.467122408858373,17.12039840043513
2025-08-17T10:28:30-05:00,4554.12,4554.55,4553.71,4554.29,8.645038,0,4554.12,4554.55,4553.71,4554.29,36.35763078247796,39.59154051160547,49.69527756095302,55.137917866011364,5.852415936332495,11.255173976651925
2025-08-17T10:28:45-05:00,4554.09,4554.46,4553.16,4553.4,11.28036895,0,4554.09,4554.46,4553.16,4553.4,31.512872122561966,31.979457222304227,41.19878814251834,46.61466274439515,-0.8193077291738007,3.003930928449961
2025-08-17T10:29:00-05:00,4553.36,4555.15,4553.16,4554.47,19.28479266,0,4553.36,4555.15,4553.16,4554.47,49.480878379166086,41.46183952803291,48.304663876448316,47.387537571905064,14.755614557906037,10.146108551361905
2025-08-17T10:29:15-05:00,4554.25,4554.4,4554.05,4554.27,2.20770154,0,4554.25,4554.4,4554.05,4554.27,54.639891814970696,49.89259281538608,46.40557728482867,46.174118828541246,16.25893490826744,14.517857701286852
2025-08-17T10:29:30-05:00,4554.36,4554.37,4553.5,4553.5,6.45752541,0,4554.36,4554.37,4553.5,4553.5,50.93363250468789,51.40919258226177,40.40376609661251,41.199518808093416,10.781121840274826,12.60114961260334
2025-08-17T10:29:45-05:00,4553.5,4556.65,4553.46,4556.65,12.46223489,0,4553.5,4556.65,4553.46,4556.65,71.65206164308468,67.33889014428418,61.17934453879231,54.07541750140834,35.221901394402785,29.505328124293214
2025-08-17T10:30:00-05:00,4556.65,4557.12,4556.54,4556.77,4.60616022,0,4556.65,4557.12,4556.54,4556.77,77.67962738070128,79.15239160929117,64.32596993261274,62.54778857976866,38.753894051830336,39.945436614902796
2025-08-17T10:30:15-05:00,4556.71,4556.97,4556.33,4556.33,11.54217303,1,4556.71,4556.97,4556.33,4556.33,67.90778551168728,77.26657482410181,62.469106890363676,65.2259729186938,32.13924474079263,39.7751782058032
2025-08-17T10:30:30-05:00,4556.31,4558.09,4555.98,4557.54,7.05455237,0,4556.31,4558.09,4555.98,4557.54,66.83303342255746,74.98691737233509,68.75375371126233,70.90396570385167,34.479931590121176,40.87712019648679
2025-08-17T10:30:45-05:00,4557.83,4557.9,4557.36,4557.59,5.4815729,0,4557.83,4557.9,4557.36,4557.59,63.4397894075845,70.69140567422072,68.52360087023662,73.06760197359283,30.43350969086943,37.771533525781564
2025-08-17T10:31:00-05:00,4557.57,4558.34,4557.57,4558.16,9.65097257,0,4557.57,4558.34,4557.57,4558.16,69.11522697136525,72.11743719331925,69.44966335984186,74.30783938881848,32.242071887718275,36.9568533498943
2025-08-17T10:31:15-05:00,4558.09,4560,4558.09,4560,15.5684689,0,4558.09,4560,4558.09,4560,86.54551615673205,84.95025668777647,76.03419452953315,79.17103716585312,44.46882109764681,44.90167723102064
2025-08-17T10:31:30-05:00,4559.99,4560.76,4559.87,4560.64,6.25780786,0,4559.99,4560.76,4559.87,4560.64,91.729663272003,94.3232372152039,77.52667120214733,82.00646460516063,45.99304683330441,49.26496306576765
2025-08-17T10:31:45-05:00,4560.64,4561.16,4560.64,4560.82,4.15140396,0,4560.64,4561.16,4560.64,4560.82,90.57719221853829,97.39240211392915,77.28715091248141,82.60999356045694,40.85505040246802,47.100644298035434
2025-08-17T10:32:00-05:00,4560.81,4560.81,4559.22,4559.63,28.62313953,1,4560.81,4560.81,4559.22,4559.63,44.662692026417005,64.67186031937032,71.25850568905177,77.92015907360789,15.824350467759453,27.303583548202965
2025-08-17T10:32:15-05:00,4559.64,4559.89,4559.42,4559.89,4.9578583,0,4559.64,4559.89,4559.42,4559.89,37.67820026036947,43.46179904145333,71.74665650076435,75.51897264316754,12.222371858205557,14.889083072247573
2025-08-17T10:32:30-05:00,4559.75,4560.9,4559.75,4560.9,12.06741497,0,4559.75,4560.9,4559.75,4560.9,47.208011798917944,40.05322714248063,75.17304880922663,76.43836415886095,18.50860745016101,13.432687754453667
2025-08-17T10:32:45-05:00,4560.79,4561.16,4560.29,4560.65,5.98585848,0,4560.79,4561.16,4560.29,4560.65,50.20929450589395,40.880189596254155,74.0000786266863,75.70312900111043,17.84865978077117,12.460907504660831
2025-08-17T10:33:00-05:00,4560.29,4560.29,4559.38,4559.65,14.60076117,0,4560.29,4560.29,4559.38,4559.65,39.85980975569064,34.38944169337116,68.77223261061317,71.3285656410108,10.391980966024795,7.015958862073324
2025-08-17T10:33:15-05:00,4559.65,4563.76,4559.63,4562.05,52.15262992,0,4559.65,4563.76,4559.63,4562.05,66.6169228005948,51.67462836755873,77.77952869522436,75.6935803236081,31.53467196626671,20.425953840022913
2025-08-17T10:33:30-05:00,4562.15,4563.39,4561.63,4562.51,25.87259648,0,4562.15,4563.39,4561.63,4562.51,71.45538633818889,64.16015347546667,78.21774147403625,77.99540625073608,32.51332633267549,28.016205703273386
2025-08-17T10:33:45-05:00,4562.8,4564.7,4562.8,4564.7,2.8699594,0,4562.8,4564.7,4562.8,4564.7,73.83539453503289,72.40292900719449,82.82780224779208,82.40182163151158,33.289889937480915,32.59273956266089
2025-08-17T10:34:00-05:00,4564.75,4566.2,4564.75,4565.08,14.84841995,0,4564.75,4566.2,4564.75,4565.08,73.33247710558425,76.15062508519075,82.64307157924245,84.25457469537015,30.808048918888232,33.10110336620587
