time,open,high,low,close,Volume,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volumeStrength,volumeStrengthMa,priceStrength,priceStrengthMa,priceVolumeStrength,priceVolumeStrengthMa
2025-06-15T13:00:00-05:00,2554.37,2555.47,2541.66,2546.24,958.13002408,0,2554.37,2555.47,2541.66,2546.24,62.08950238307224,63.58038867102125,4.8078762242720465,6.119209951461307,24.022394402499398,31.438908513738514
2025-06-15T13:30:00-05:00,2546.21,2550.27,2543.54,2549.24,522.51049687,0,2546.21,2550.27,2543.54,2549.24,60.0195798313802,60.41802765633495,5.294852072467984,5.536310624088991,21.810596850831114,27.268377045412443
2025-06-15T14:00:00-05:00,2549.25,2554.06,2546.03,2547.5,215.7631353,0,2549.25,2554.06,2546.03,2547.5,56.68325168813956,56.56819316254466,5.087500119003122,5.060378147188232,16.194607123938304,20.687537164556815
2025-06-15T14:30:00-05:00,2547.66,2549.93,2531.45,2537.44,1084.8376777,0,2547.66,2549.93,2531.45,2537.44,40.49254703992902,43.057149870888495,2.503523736375289,2.9402282063984093,-3.467302693722187,2.8731075640861263
2025-06-15T15:00:00-05:00,2537.44,2537.88,2512.52,2514.26,1995.69592769,0,2537.44,2537.88,2512.52,2514.26,12.59528401314082,16.54630772727652,-4.310644250039823,-3.010571708787922,-35.16817350953084,-28.796371291692598
2025-06-15T15:30:00-05:00,2513.82,2520,2492.42,2503.99,3494.24335568,0,2513.82,2520,2492.42,2503.99,11.584738503290076,3.7444386212244094,-8.399730917456287,-8.733220500605825,-46.14042002176766,-51.500110623889356
2025-06-15T16:00:00-05:00,2503.92,2514.09,2498.33,2513.81,1392.74126747,0,2503.92,2514.09,2498.33,2513.81,19.630029661255204,4.406086452920208,-7.266831793137294,-10.44896401467445,-39.17911422268708,-56.318365591313835
2025-06-15T16:30:00-05:00,2513.82,2520.07,2504.86,2517.82,757.74058932,0,2513.82,2520.07,2504.86,2517.82,26.960893296941656,11.294248614124653,-6.5679776727627,-10.473385751593757,-33.823408878861706,-53.26909237866635
2025-06-15T17:00:00-05:00,2517.72,2547.57,2514.15,2540.39,4804.47239954,0,2517.72,2547.57,2514.15,2540.39,66.19020481821038,44.52768154636813,2.4672802492347916,-3.533775253076149,-1.6642703582833012,-26.61738519765621
2025-06-15T17:30:00-05:00,2540.54,2550,2534.49,2545.3,1817.72754472,0,2540.54,2550,2534.49,2545.3,76.14838533086848,68.613390126753,5.798039657506816,2.5251895884710596,8.033370400872522,-5.299924413268894
2025-06-15T18:00:00-05:00,2545.31,2548.82,2540,2545.01,1080.46954225,0,2545.31,2548.82,2540,2545.01,76.0550097636243,80.4949403462132,5.94179062089067,5.743517704813941,8.2567846114819,6.129031377721104
2025-06-15T18:30:00-05:00,2544.88,2550.12,2543.97,2548.03,871.98618423,0,2544.88,2550.12,2543.97,2548.03,76.13727903074937,85.98114974764144,6.739981452796863,7.924360808708483,10.008299872094502,13.300666912304965
2025-06-15T19:00:00-05:00,2547.95,2553.01,2538.53,2542.98,1150.28273856,0,2547.95,2553.01,2538.53,2542.98,66.30694906040122,80.6172217805259,5.309451528167887,7.830464432428534,32.320723055805324,32.84847272663529
