time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volumeStrength,volumeStrengthMa,priceStrength,priceStrengthMa,priceVolumeStrength,priceVolumeStrengthMa
2025-08-13T15:24:00-05:00,4712.37,4712.88,4700,4703.71,0,4712.37,4712.88,4700,4703.71,20.914021690488187,18.90572766293824,17.790347222314324,17.483795112601392,-25.917212597540583,-30.053550744144705
2025-08-13T15:26:00-05:00,4703.57,4715.7,4700.75,4713.7,0,4703.57,4715.7,4700.75,4713.7,31.567260564742362,23.30089917164599,23.820682389328418,18.21960380133317,-12.837770276125719,-24.2328926119691
2025-08-13T15:28:00-05:00,4713.7,4714.75,4712.75,4713.76,0,4713.7,4714.75,4712.75,4713.76,36.902482062262244,29.86787180008381,24.55112961092179,19.51907094203038,-8.564103338797738,-17.527659572246854
2025-08-13T15:30:00-05:00,4713.78,4722.99,4713.78,4722.65,0,4713.78,4722.99,4713.78,4722.65,49.92836372948568,43.04047077177293,34.42790847433585,27.815627363704195,7.1540738892697,-2.0903787454130835
2025-08-13T15:32:00-05:00,4722.63,4722.95,4716.72,4718.24,0,4722.63,4722.95,4716.72,4718.24,45.50269068302268,46.410413691046365,31.82532319210852,30.248614110672488,4.341817816707887,3.716972709527205
2025-08-13T15:34:00-05:00,4718.23,4722.98,4718.08,4722.26,0,4718.23,4722.98,4718.08,4722.26,51.859657827578125,52.75416835545573,36.27367149865741,34.92134144714575,13.974374556822058,13.733093872363186
2025-08-13T15:36:00-05:00,4722.07,4726.67,4720.45,4724.91,0,4722.07,4726.67,4720.45,4724.91,59.76891297060035,61.358903678909215,40.42871499920354,40.2533816274272,25.322059895320365,26.628319598510494
2025-08-13T15:38:00-05:00,4724.63,4728.36,4723.7,4727.48,0,4724.63,4728.36,4723.7,4727.48,66.86290811981627,70.23981498845188,42.65450549266364,44.33633764114082,34.302388639992486,38.86150146660534
2025-08-13T15:40:00-05:00,4727.49,4731.02,4726.51,4729.22,0,4727.49,4731.02,4726.51,4729.22,68.45804527808659,75.05150165601289,44.13070662714181,47.137072364305084,39.10131628769097,47.437717836665094
2025-08-13T15:42:00-05:00,4729.22,4734.49,4728.15,4729.23,0,4729.22,4734.49,4728.15,4729.23,61.745142079807295,71.70542931672412,44.959413248479684,48.73726351331752,36.83132934075739,48.854538831811126
